system:index,B1,B11,B12,B2,B3,B4,B5,B8,B4/B11+B12,B3/B5,B2+b3/B1+B2+B4,B3+B5/B1+B4,B3/(b1+b4),B12/B11,B11/B12,B3/B4,B4/B3,B4/B1,(B3+B4)/B3,(B2+B3)/(B1+B4),DQO_TOT,P_TOT,pH_CAMPO,OD_mg/L,TURBIEDAD,SST,SDT,COLOR_VER,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,n_images,nombre,range_end,range_start,target_date,.geo
1_1,0.158399999,0.203299999,0.123800002,0.129099995,0.127399996,0.116599999,0.130199999,0.256500006,0.356465909,0.978494603,0.634743863,0.936727258,0.529950063,0.6089523,0.779144121,1.092624328,0.915227654,0.94184166,1.915227654,1.066971669,17,0.068136,7.8,6.63,6.3,9,842.88,10,0.168234,0.071222,8.056467,0.895375,9.191298,1.063609,2,Punto_2,5/13/2016,3/13/2016,4/12/2016,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
2_1,0.161300004,0.193200007,0.114100002,0.131549999,0.129549995,0.1109,0.1285,0.253500015,0.360885117,1.008171171,0.646687288,0.948016134,0.575777752,0.590579698,0.834886116,1.16816948,0.85604017,0.971954409,1.85604017,1.160444411,15.1,0.215087,8,9.22,45,39,5128,18,0.948572,0.184817,3.81023,1.105956,6.049575,2.054528,4,Punto_2,6/17/2016,4/17/2016,5/17/2016,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
3_1,0.164199993,0.1831,0.104400001,0.134000003,0.131699994,0.1052,0.126800001,0.250499994,0.365913042,1.038643482,0.658651462,0.959539723,0.628339662,0.570180237,0.896777679,1.251901084,0.798785154,1.007662822,1.798785154,1.267652651,21.46,0.054515,8.2,6.93,12,11,2937.6,13,0.120119,0.083802,2.994051,1.872156,5.070128,1.992275,2,Punto_2,7/24/2016,5/24/2016,6/23/2016,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
5_1,0.152400002,0.191699997,0.105999999,0.120899998,0.119400002,0.104699999,0.124399997,0.254999995,0.351696341,0.959807111,0.635714287,0.94826915,0.566682503,0.552947317,0.794992199,1.140401176,0.876884399,0.987735852,1.876884399,1.140484111,16.44,0.134406,7.4,6.42,22,11,820.48,13,0.127784,0.103917,5.501363,1.1993,6.932364,1.327084,2,Punto_2,10/5/2016,8/5/2016,9/4/2016,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
6_1,0.154799998,0.153500006,0.072300002,0.109499998,0.102700002,0.070799999,0.098399997,0.236000001,0.313551801,1.043699247,0.63324382,0.891400719,0.717679957,0.471009768,1.008469004,1.450565029,0.689386536,0.979253071,1.689386536,1.482879102,22.09,0.26322,7.4,7.12,11,15,1246.08,20,0.72282,0.40623,4.72282,1.35326,7.20513,2.07608,3,Punto_2,3/25/2017,1/23/2017,2/22/2017,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
7_1,0.145799994,0.146300003,0.080499999,0.104699999,0.096900001,0.067400001,0.102799997,0.162,0.297178132,0.942607045,0.634161698,0.936679185,0.655172421,0.550239218,0.996582307,1.437685456,0.695562437,0.837267101,1.695562437,1.363083164,20.49,0.01632,8.3,6.13,3,9,1351.68,4,0.15467,0.05397,6.61939,0.78821,7.61624,0.94288,3,Punto_2,5/5/2017,3/5/2017,4/4/2017,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
8_1,0.145799994,0.146300003,0.076499999,0.104699999,0.099799998,0.076499999,0.105700001,0.213,0.343357262,0.944181618,0.625382269,0.924426476,0.652287582,0.522898134,0.996582307,1.304575163,0.766533066,1,1.766533066,1.336601314,21.13,0.28004,7.7,7.16,5.1,11,2950.4,13,0.10123,0.13892,6.85791,0.83024,7.9283,0.93147,2,Punto_2,6/16/2017,4/16/2017,5/16/2017,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
9_1,0.164849997,0.187749997,0.134949997,0.125750005,0.116700001,0.109049998,0.134049997,0.211850002,0.337929967,0.870570712,0.60665584,0.915480112,0.478278702,0.718774963,0.878029291,1.070151334,0.934447277,0.80807707,1.934447277,0.993647586,48.45,0.1876,7.8,6.48,14,15.67,1945.6,30,1.22264,0.24176,2.70273,1.4834,5.65053,2.70604,2,Punto_2,7/28/2017,5/28/2017,6/27/2017,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
10_1,0.170599997,0.192849994,0.134599999,0.129950002,0.120549999,0.115800001,0.129899994,0.200149998,0.353641788,0.928021595,0.601657263,0.874476238,0.48142971,0.697951791,0.88462537,1.041018985,0.960597275,0.860326909,1.960597275,1.000399368,27.02,0.18568,7.7,7.43,32,27,1358.08,25,0.754261,0.117181,3.01984,1.053111,4.944393,1.807372,1,Punto_2,9/8/2017,7/9/2017,8/8/2017,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
11_1,0.155000001,0.164100006,0.088,0.108900003,0.104999997,0.079099998,0.113700002,0.185399994,0.313764364,0.923482801,0.623615156,0.934216147,0.628366238,0.536258356,0.94454598,1.327433622,0.753333337,0.898863617,1.753333337,1.280071832,22.54,0.10194,8,9.18,6.5,9,2240,13,0.11965,0.09627,5.43767,0.92546,6.57905,1.04511,4,Punto_2,10/19/2017,8/19/2017,9/18/2017,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
